component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,3.332313644417741,0.17537705043378918,0.17537705043378918
PC2,2.7912003932259903,0.14689868492830294,0.3222757353620921
PC3,1.9054051378905115,0.10027997620344473,0.42255571156553684
PC4,1.2105675755522407,0.06371122091306973,0.4862669324786066
PC5,1.0771164713530685,0.05668779409045066,0.5429547265690573
PC6,1.0100774047489152,0.053159580656950436,0.5961143072260078
PC7,0.9578074430945432,0.05040865361963887,0.6465229608456466
PC8,0.9298914793786903,0.04893945837005473,0.6954624192157014
PC9,0.8918003068251703,0.046934749869343324,0.7423971690850447
PC10,0.863152233669121,0.04542702427480457,0.7878241933598493
PC11,0.7909638341624904,0.04162780549411833,0.8294519988539677
PC12,0.5994601313977563,0.0315491159943199,0.8610011148482876
PC13,0.5914060121072697,0.031125234020492606,0.8921263488687802
PC14,0.5195827250004069,0.027345230818704637,0.9194715796874848
PC15,0.471980378834938,0.02483995671936731,0.9443115364068522
PC16,0.384847841030425,0.02025423967482537,0.9645657760816775
PC17,0.3462760712236081,0.018224237718057992,0.9827900137997355
PC18,0.31808766452178683,0.016740704008055954,0.9995307178077915
PC19,0.008916762189301933,0.0004692821922086969,1.0000000000000002
