feature,centered_global_mean,centered_global_std
sleep_hours,2.681052457274657e-17,2.454702970537602
sleep_midpoint_hours_after_8pm,-1.4522367476904392e-17,1.5999077032998072
steps_total,7.713260250414556e-14,4276.216748041548
walking_hours,-4.947180129494903e-18,1.4625269321085423
running_hours,-1.770412243922067e-19,0.08546170421928322
biking_hours,2.1943137671146744e-19,0.14243763325276004
vehicle_hours,-9.57518734740949e-19,1.0824189911338271
still_hours,-3.1278945334871e-17,1.9516038128765416
distance_traveled_km,3.2172629487295886e-16,226.72754902857508
location_visits,-2.8725562042228468e-18,2.091543375838471
home_hours,2.0427066341140245e-17,7.5410567170255
own_dorm_hours,1.9150374694818978e-17,6.719292725164344
social_hours,1.7873683048497715e-17,2.5736141962072994
study_hours,2.9044734953808783e-17,3.254583146836022
food_hours,-5.18655981318014e-18,1.0819005762329856
other_campus_hours,7.091623129175153e-18,0.9975079666853496
screen_time_hours,-2.0427066341140245e-17,1.220219320398401
media_playing_hours,-2.93639078653891e-17,2.1882844554999643
media_sessions,3.191729115803163e-19,2.9358391100476378
