feature,lower,upper
sleep_hours,0.060370000000000236,16.289629999999992
sleep_midpoint_hours_after_8pm,4.933333333333334,15.6
steps_total,87.0,23126.600000000006
walking_hours,0.3242277777777778,8.474416666666665
running_hours,0.0,0.595386111111111
biking_hours,0.0,0.9903249999999996
vehicle_hours,0.0,5.748583333333332
still_hours,13.137141666666666,23.625494444444445
distance_traveled_km,0.0,1823.8970744122937
location_visits,1.0,9.0
home_hours,0.0,24.0038888889
own_dorm_hours,0.0,22.3388888889
social_hours,0.0,16.162899999972794
study_hours,0.0,18.64596666668397
food_hours,0.0,5.96743333333115
other_campus_hours,0.0,6.605611111109191
screen_time_hours,0.5646026083333333,7.5434030083333266
media_playing_hours,0.0,13.001497222222222
media_sessions,0.0,15.0
