term,coefficient,std_error,t_stat,p_value_normal_approx
PC1,0.02632273350313701,0.003402085096448646,7.737235476741799,1.0160177873152473e-14
PC2,-0.11989546243721115,0.0037102034878749826,-32.31506380419076,4.2974928062040925e-229
PC3,0.05741499365255653,0.004490683476514486,12.785357496877083,1.979504786065415e-37
PC4,-0.05488179750987526,0.005636786859725419,-9.736362022485393,2.1097221779158527e-22
PC5,-0.0615048704179141,0.005972937120198996,-10.297257309125161,7.249888018029686e-25
PC6,-0.06429986196314205,0.006179014010064971,-10.406168663544745,2.3238691748353074e-25
PC7,-0.011275568094716233,0.006338355713943006,-1.7789421426620837,0.07524924798886268
PC8,-0.04721678045926101,0.006438281716163271,-7.333754958364675,2.237921219834889e-13
PC9,0.04234996118014965,0.0065618933011832945,6.453924078971652,1.0899042745715129e-10
PC10,0.020520517446900827,0.006670392043362964,3.076358527879741,0.002095457148431847
PC11,0.03255020849451432,0.006970699121587312,4.669575881379061,3.0182220073297165e-06
sleep_source_healthkit,-0.09074348922946529,0.018893029096031355,-4.803014316456367,1.5629470567391857e-06
